Col1,__SourceFile
Cells and tissue appeared in the figures in Albertson and,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
Thomson (1976) other than the neurons,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
Albertson_Fig/,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""bm"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Pharyngeal basement membrane.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""g"", ""g1"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Pharyngeal gland cells.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""m[1,2,3,4,5,6,7]"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Pharyngeal muscle cells.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""mc"", ""mc2"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Pharyngeal marginal cells.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
Cells and tissue appeared in the figures in White et al. (1986),_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
other than the neurons,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
White_Fig/,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""CEPsh[DL,DR,VL,VR]"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Cephalic sheath cells.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""GLR[DL,DR,L,R,VL,VR]"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Cells that form a thin cylindrical sheet between pharynx,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     and ring neuropil.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
"  ""HDC"":",_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
     Hypodermis.,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/name_others.txt
